股票简称,股票代码,总市值,所属同花顺行业
金龙鱼,300999.,221905741568.48,农林牧渔-农产品加工-粮油加工
浦发银行,600000,218967223702.14,银行-银行-股份制银行
海光信息,688041,214513162418.39,电子-半导体及元件-集成电路设计
爱尔眼科,300015.,208262765221.7,医药生物-医疗服务-其他医疗服务
金山办公,688111,204017505077.0,计算机-计算机应用-软件开发
海尔智家,600690,202634799167.15,家用电器-白色家电-冰洗
药明康德,603259,199838875192.5,医药生物-医疗服务-医疗研发外包
中国中铁,601390,192326349582.92,建筑装饰-建筑装饰-基础建设
立讯精密,002475.,187814525833.14,电子-消费电子-消费电子零部件及组装
长城汽车,601633,186536080436.55,交运设备-汽车整车-乘用车
陕西煤业,601225,186047050000.0,煤炭-煤炭开采加工-煤炭开采
百济神州,688235,182709478622.31,医药生物-生物制品-其他生物制品
中国中车,601766,180941903300.07,交运设备-非汽车交运-轨交设备
通威股份,600438,180078233120.0,电力设备-电力设备-光伏设备
伊利股份,600887,175202394498.84,食品饮料-食品加工制造-乳品
北方华创,002371.,174478510883.88,电子-半导体及元件-半导体设备
光大银行,601818,172988178185.05,银行-银行-股份制银行
国电南瑞,600406,172383452069.75,电力设备-电力设备-电气自控设备
中信建投,601066,169571919562.31,非银金融-证券-证券Ⅲ
中国联通,600050,169517645143.21,通信-通信服务-通信服务Ⅲ
阳光电源,300274.,169311772176.0,电力设备-电力设备-光伏设备
宁波银行,002142.,168985888367.28,银行-银行-城商行
中远海控,601919,168580731991.8,交通运输-港口航运-航运
万科A,000002.,166845536916.15,房地产-房地产开发-住宅开发
保利发展,600048,165790641339.3,房地产-房地产开发-住宅开发
汇川技术,300124.,164116058500.44,机械设备-自动化设备-工控设备
片仔癀,600436,162262163629.5,医药生物-中药-中药Ⅲ
上汽集团,600104,162049609132.55,交运设备-汽车整车-乘用车
中兴通讯,000063.,158759610338.7,通信-通信设备-通信网络设备及器件
中国交建,601800,155714658971.33,建筑装饰-建筑装饰-基础建设
三峡能源,600905,154570243680.0,公用事业-电力-新能源发电
京东方A,000725.,151250135052.57,电子-光学光电子-面板
民生银行,600016,148225171373.12,银行-银行-股份制银行
中国国航,601111,146979598266.28,交通运输-机场航运-航空运输
兖矿能源,600188,146276924222.4,煤炭-煤炭开采加工-煤炭开采
宝钢股份,600019,145149545525.68,黑色金属-钢铁-普钢
中金公司,601995,143843530234.32,非银金融-证券-证券Ⅲ
中国铁建,601186,138142337584.36,建筑装饰-建筑装饰-基础建设
海螺水泥,600585,136519390836.09,建筑材料-建筑材料-水泥
中国广核,003816.,136321413488.95,公用事业-电力-新能源发电
三一重工,600031,135955365433.74,机械设备-专用设备-工程机械
TCL中环,002129.,135398764229.63,电力设备-电力设备-光伏设备
科大讯飞,002230.,135319662397.25,计算机-计算机应用-软件开发
荣盛石化,002493.,133150653750.0,石油石化-石油加工贸易-石油加工
温氏股份,300498.,132393650199.8,农林牧渔-养殖业-畜禽养殖
上海机场,600009,131068312177.8,交通运输-机场航运-机场
智飞生物,300122.,130912000000.0,医药生物-生物制品-疫苗
亿纬锂能,300014.,130680689228.36,电力设备-电力设备-电池
晶澳科技,002459.,129538519462.82,电力设备-电力设备-光伏设备
上港集团,600018,128295637572.5,交通运输-港口航运-港口
青岛啤酒,600600,128051510877.72,食品饮料-饮料制造-啤酒
晶科能源,688223,127300000000.0,电力设备-电力设备-光伏设备
中国电建,601669,126612271104.9,建筑装饰-建筑装饰-基础建设
中国核电,601985,126239481077.1,公用事业-电力-新能源发电
贵州茅台,600519,2179289629374.0,食品饮料-饮料制造-白酒
工商银行,601398,1586788583087.5,银行-银行-国有大型银行
中国移动,600941,1312894529269.0,通信-通信服务-通信服务Ⅲ
中国石油,601857,1297417318115.4,石油石化-石油加工贸易-石油加工
建设银行,601939,1170975993033.7,银行-银行-国有大型银行
农业银行,601288,1148158392621.4,银行-银行-国有大型银行
中国银行,601988,986146519615.98,银行-银行-国有大型银行
宁德时代,300750.,978834621977.75,电力设备-电力设备-电池
招商银行,600036,852673240292.91,银行-银行-股份制银行
中国平安,601318,834446852545.22,非银金融-保险及其他-保险
中国人寿,601628,834081132620.33,非银金融-保险及其他-保险
中国石化,600028,719265051964.66,石油石化-石油加工贸易-石油加工
比亚迪,002594.,669261632990.0,交运设备-汽车整车-乘用车
五粮液,000858.,654982534763.7,食品饮料-饮料制造-白酒
中国神华,601088,547228742620.14,煤炭-煤炭开采加工-煤炭开采
中国海油,600938,542854405061.41,石油石化-油气开采及服务-油气开采
中国电信,601728,542398081336.94,通信-通信服务-通信服务Ⅲ
邮储银行,601658,515715877840.48,银行-银行-国有大型银行
长江电力,600900,504038549251.5,公用事业-电力-水电
美的集团,000333.,402483772693.92,家用电器-白色家电-空调
交通银行,601328,371276823367.74,银行-银行-国有大型银行
迈瑞医疗,300760.,366666526373.48,医药生物-医疗器械-医疗设备
兴业银行,601166,356070879063.84,银行-银行-股份制银行
海康威视,002415.,345435480586.21,计算机-计算机设备-计算机设备Ⅲ
中国中免,601888,334358034648.34,商贸零售-零售-旅游零售
工业富联,601138,330717183135.3,电子-消费电子-消费电子零部件及组装
泸州老窖,000568.,327178721415.63,食品饮料-饮料制造-白酒
紫金矿业,601899,324592410239.46,有色金属-工业金属-铜
海天味业,603288,312227720568.06,食品饮料-食品加工制造-调味发酵品
恒瑞医药,600276,303321558128.7,医药生物-化学制药-化学制剂
山西汾酒,600809,292828012206.66,食品饮料-饮料制造-白酒
万华化学,600309,289202061720.86,基础化工-化学制品-聚氨酯
中信证券,600030,287918657715.2,非银金融-证券-证券Ⅲ
隆基绿能,601012,277331654309.48,电力设备-电力设备-光伏设备
中信银行,601998,269484442354.66,银行-银行-股份制银行
顺丰控股,002352.,264928352426.76,交通运输-物流-物流Ⅲ
牧原股份,002714.,259048728183.04,农林牧渔-养殖业-畜禽养殖
中国太保,601601,257079074910.9,非银金融-保险及其他-保险
中国建筑,601668,257058073333.72,建筑装饰-建筑装饰-房屋建设
京沪高铁,601816,251916266054.43,交通运输-公路铁路运输-铁路运输
东方财富,300059.,250064811970.04,非银金融-证券-证券Ⅲ
平安银行,000001.,233259136739.96,银行-银行-股份制银行
中芯国际,688981,228142618465.7,电子-半导体及元件-集成电路制造
中国人保,601319,227344571500.42,非银金融-保险及其他-保险
洋河股份,002304.,226244108440.0,食品饮料-饮料制造-白酒
格力电器,000651.,223566807917.7,家用电器-白色家电-空调
金龙鱼,300999.,221905741568.48,农林牧渔-农产品加工-粮油加工
浦发银行,600000,218967223702.14,银行-银行-股份制银行
海光信息,688041,214513162418.39,电子-半导体及元件-集成电路设计
爱尔眼科,300015.,208262765221.7,医药生物-医疗服务-其他医疗服务
金山办公,688111,204017505077.0,计算机-计算机应用-软件开发
海尔智家,600690,202634799167.15,家用电器-白色家电-冰洗
药明康德,603259,199838875192.5,医药生物-医疗服务-医疗研发外包
中国中铁,601390,192326349582.92,建筑装饰-建筑装饰-基础建设
立讯精密,002475.,187814525833.14,电子-消费电子-消费电子零部件及组装
长城汽车,601633,186536080436.55,交运设备-汽车整车-乘用车
陕西煤业,601225,186047050000.0,煤炭-煤炭开采加工-煤炭开采
百济神州,688235,182709478622.31,医药生物-生物制品-其他生物制品
中国中车,601766,180941903300.07,交运设备-非汽车交运-轨交设备
通威股份,600438,180078233120.0,电力设备-电力设备-光伏设备
伊利股份,600887,175202394498.84,食品饮料-食品加工制造-乳品
北方华创,002371.,174478510883.88,电子-半导体及元件-半导体设备
光大银行,601818,172988178185.05,银行-银行-股份制银行
国电南瑞,600406,172383452069.75,电力设备-电力设备-电气自控设备
中信建投,601066,169571919562.31,非银金融-证券-证券Ⅲ
中国联通,600050,169517645143.21,通信-通信服务-通信服务Ⅲ
阳光电源,300274.,169311772176.0,电力设备-电力设备-光伏设备
宁波银行,002142.,168985888367.28,银行-银行-城商行
中远海控,601919,168580731991.8,交通运输-港口航运-航运
万科A,000002.,166845536916.15,房地产-房地产开发-住宅开发
保利发展,600048,165790641339.3,房地产-房地产开发-住宅开发
汇川技术,300124.,164116058500.44,机械设备-自动化设备-工控设备
片仔癀,600436,162262163629.5,医药生物-中药-中药Ⅲ
上汽集团,600104,162049609132.55,交运设备-汽车整车-乘用车
中兴通讯,000063.,158759610338.7,通信-通信设备-通信网络设备及器件
中国交建,601800,155714658971.33,建筑装饰-建筑装饰-基础建设
三峡能源,600905,154570243680.0,公用事业-电力-新能源发电
京东方A,000725.,151250135052.57,电子-光学光电子-面板
民生银行,600016,148225171373.12,银行-银行-股份制银行
中国国航,601111,146979598266.28,交通运输-机场航运-航空运输
兖矿能源,600188,146276924222.4,煤炭-煤炭开采加工-煤炭开采
宝钢股份,600019,145149545525.68,黑色金属-钢铁-普钢
中金公司,601995,143843530234.32,非银金融-证券-证券Ⅲ
中国铁建,601186,138142337584.36,建筑装饰-建筑装饰-基础建设
海螺水泥,600585,136519390836.09,建筑材料-建筑材料-水泥
中国广核,003816.,136321413488.95,公用事业-电力-新能源发电
三一重工,600031,135955365433.74,机械设备-专用设备-工程机械
TCL中环,002129.,135398764229.63,电力设备-电力设备-光伏设备
科大讯飞,002230.,135319662397.25,计算机-计算机应用-软件开发
荣盛石化,002493.,133150653750.0,石油石化-石油加工贸易-石油加工
温氏股份,300498.,132393650199.8,农林牧渔-养殖业-畜禽养殖
上海机场,600009,131068312177.8,交通运输-机场航运-机场
智飞生物,300122.,130912000000.0,医药生物-生物制品-疫苗
亿纬锂能,300014.,130680689228.36,电力设备-电力设备-电池
晶澳科技,002459.,129538519462.82,电力设备-电力设备-光伏设备
上港集团,600018,128295637572.5,交通运输-港口航运-港口
青岛啤酒,600600,128051510877.72,食品饮料-饮料制造-啤酒
晶科能源,688223,127300000000.0,电力设备-电力设备-光伏设备
中国电建,601669,126612271104.9,建筑装饰-建筑装饰-基础建设
中国核电,601985,126239481077.1,公用事业-电力-新能源发电
贵州茅台,600519,2179289629374.0,食品饮料-饮料制造-白酒
工商银行,601398,1586788583087.5,银行-银行-国有大型银行
中国移动,600941,1312894529269.0,通信-通信服务-通信服务Ⅲ
中国石油,601857,1297417318115.4,石油石化-石油加工贸易-石油加工
建设银行,601939,1170975993033.7,银行-银行-国有大型银行
农业银行,601288,1148158392621.4,银行-银行-国有大型银行
中国银行,601988,986146519615.98,银行-银行-国有大型银行
宁德时代,300750.,978834621977.75,电力设备-电力设备-电池
招商银行,600036,852673240292.91,银行-银行-股份制银行
中国平安,601318,834446852545.22,非银金融-保险及其他-保险
中国人寿,601628,834081132620.33,非银金融-保险及其他-保险
中国石化,600028,719265051964.66,石油石化-石油加工贸易-石油加工
比亚迪,002594.,669261632990.0,交运设备-汽车整车-乘用车
五粮液,000858.,654982534763.7,食品饮料-饮料制造-白酒
中国神华,601088,547228742620.14,煤炭-煤炭开采加工-煤炭开采
中国海油,600938,542854405061.41,石油石化-油气开采及服务-油气开采
中国电信,601728,542398081336.94,通信-通信服务-通信服务Ⅲ
邮储银行,601658,515715877840.48,银行-银行-国有大型银行
长江电力,600900,504038549251.5,公用事业-电力-水电
美的集团,000333.,402483772693.92,家用电器-白色家电-空调
交通银行,601328,371276823367.74,银行-银行-国有大型银行
迈瑞医疗,300760.,366666526373.48,医药生物-医疗器械-医疗设备
兴业银行,601166,356070879063.84,银行-银行-股份制银行
海康威视,002415.,345435480586.21,计算机-计算机设备-计算机设备Ⅲ
中国中免,601888,334358034648.34,商贸零售-零售-旅游零售
工业富联,601138,330717183135.3,电子-消费电子-消费电子零部件及组装
泸州老窖,000568.,327178721415.63,食品饮料-饮料制造-白酒
紫金矿业,601899,324592410239.46,有色金属-工业金属-铜
海天味业,603288,312227720568.06,食品饮料-食品加工制造-调味发酵品
恒瑞医药,600276,303321558128.7,医药生物-化学制药-化学制剂
山西汾酒,600809,292828012206.66,食品饮料-饮料制造-白酒
万华化学,600309,289202061720.86,基础化工-化学制品-聚氨酯
中信证券,600030,287918657715.2,非银金融-证券-证券Ⅲ
隆基绿能,601012,277331654309.48,电力设备-电力设备-光伏设备
中信银行,601998,269484442354.66,银行-银行-股份制银行
顺丰控股,002352.,264928352426.76,交通运输-物流-物流Ⅲ
牧原股份,002714.,259048728183.04,农林牧渔-养殖业-畜禽养殖
